name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Lissandra,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Lissandra.png,MID,+8.89,diamond,13.13,oce,59.74,350,0.0379,0.9459000000000001,0.5743,0.0152,S,2.84
Ivern,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ivern.png,JUNGLE,+2.28,diamond,13.13,oce,55.93,251,0.0346,0.7011,0.5498,0.0672,S,3.91
Zoe,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zoe.png,MID,-25.92,master,13.13,oce,32.59,40,0.0222,0.7843000000000001,0.4,0.0181,D,3.16
Irelia,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Irelia.png,TOP,-0.63,diamond,13.13,oce,52.52,408,0.0395,0.5667,0.4951,0.09300000000000001,A,1.69
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/DrMundo.png,JUNGLE,-8.63,platinum,13.13,oce,27.72,99,0.003,0.12279999999999999,0.4949,0.017,D,2.46
Ivern,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ivern.png,TOP,-13.49,platinum,13.13,oce,27.44,125,0.0042,0.1144,0.456,0.052300000000000006,D,2.07
Pantheon,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Pantheon.png,SUPPORT,+0.26,silver,13.13,oce,44.4,3639,0.0302,0.2839,0.4891,0.079,B,1.94
Zyra,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zyra.png,,0.00,challenger,13.13,oce,0.0,1,0.0013,1.0,1.0,0.0045000000000000005,Off Meta,2.17
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Aatrox.png,TOP,-0.72,iron,13.13,oce,53.38,1669,0.061399999999999996,0.8784000000000001,0.4703,0.073,A,1.77
Zyra,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zyra.png,SUPPORT,-3.66,silver,13.13,oce,51.81,4773,0.0383,0.8973,0.5141,0.0301,A,2.07
Zyra,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zyra.png,,0.00,master,13.13,oce,0.0,12,0.0196,0.8571,0.3333,0.0087,Off Meta,1.84
Ekko,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ekko.png,JUNGLE,+3.36,grandmaster,13.13,vn,51.14,225,0.047400000000000005,0.6484000000000001,0.5333,0.0218,A,3.0
Zoe,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zoe.png,MID,+0.80,diamond,13.13,vn,52.16,2664,0.030899999999999997,0.8820999999999999,0.5203,0.0451,A,2.78
Zyra,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zyra.png,SUPPORT,+2.41,diamond,13.13,vn,42.58,1257,0.015300000000000001,0.927,0.506,0.0085,C,1.93
Zoe,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zoe.png,SUPPORT,-0.25,diamond,13.13,vn,39.26,316,0.0046,0.10460000000000001,0.48729999999999996,0.0451,C,2.18
Kai'Sa,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Kaisa.png,ADC,+5.67,grandmaster,13.13,vn,90.95,2567,0.4178,0.8848999999999999,0.5427000000000001,0.11789999999999999,S+,2.69
Zilean,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zilean.png,SUPPORT,+0.30,diamond,13.13,vn,46.45,1185,0.0123,0.8195,0.5224,0.0059,B,2.89
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ziggs.png,SUPPORT,-0.02,diamond,13.13,vn,42.88,380,0.004699999999999999,0.2066,0.5263,0.0025,C,2.03
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ziggs.png,ADC,+6.51,diamond,13.13,vn,38.75,255,0.0032,0.1387,0.502,0.0025,D,2.44
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Ziggs.png,MID,+1.13,diamond,13.13,vn,43.64,1167,0.013999999999999999,0.6346,0.4979,0.0025,B,2.36
Zilean,https://ddragon.leagueoflegends.com/cdn/13.13.1/img/champion/Zilean.png,MID,+10.26,diamond,13.13,vn,52.12,232,0.0021,0.1604,0.569,0.0059,A,3.46
