name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Gangplank,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Gangplank.png,TOP,-10.74,platinum,13.7,ph,56.66,2432,0.0489,0.7598,0.4877,0.1557,A,1.96
Galio,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Galio.png,MID,-2.42,platinum,13.7,ph,41.94,694,0.0166,0.8155,0.4755,0.0024,C,2.54
Fizz,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Fizz.png,MID,+1.00,platinum,13.7,ph,54.16,1997,0.0398,0.955,0.5307999999999999,0.030299999999999997,A,2.5
Fiora,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Fiora.png,TOP,-6.84,platinum,13.7,ph,60.58,2657,0.0548,0.9761,0.5085000000000001,0.0955,S,1.74
Fiddlesticks,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Fiddlesticks.png,SUPPORT,,platinum,13.7,ph,44.0,278,0.0046,0.1251,0.5396,0.0286,B,1.92
Fiddlesticks,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Fiddlesticks.png,JUNGLE,-7.07,platinum,13.7,ph,53.04,1871,0.0373,0.8420000000000001,0.5174,0.0286,A,2.92
Ezreal,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ezreal.png,ADC,+1.43,platinum,13.7,ph,60.97,6587,0.136,0.9393,0.4805,0.0151,S,2.43
Evelynn,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Evelynn.png,JUNGLE,-2.99,platinum,13.7,ph,49.69,2124,0.042199999999999994,0.9703,0.49060000000000004,0.0625,A,2.86
Ekko,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ekko.png,MID,-0.10,platinum,13.7,ph,44.53,840,0.0184,0.3118,0.4988,0.0171,B,2.27
Elise,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Elise.png,JUNGLE,+3.77,platinum,13.7,ph,43.51,1276,0.0248,0.948,0.4953,0.0226,B,2.63
Ekko,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ekko.png,JUNGLE,-0.47,platinum,13.7,ph,48.73,1780,0.0354,0.6607,0.5056,0.0171,A,2.65
Ekko,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ekko.png,JUNGLE,+16.67,iron,13.7,ph,57.03,406,0.031200000000000002,0.5012,0.4901,0.0245,A,2.26
