name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Pantheon,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Pantheon.png,TOP,+11.77,master,13.11,oce,54.1,33,0.0325,0.39289999999999997,0.5758,0.0892,A,2.04
Kayn,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Kayn.png,JUNGLE,-3.72,platinum,13.11,oce,60.04,1561,0.0934,0.9113,0.48560000000000003,0.1401,S,2.48
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Aatrox.png,TOP,+23.41,silver,13.11,oce,86.68,7171,0.08380000000000001,0.8978,0.4893,0.0692,S+,1.93
Ekko,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Ekko.png,JUNGLE,+1.40,silver,13.11,oce,54.08,3884,0.048600000000000004,0.5934,0.5033,0.0554,A,2.73
Quinn,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Quinn.png,MID,+2.59,silver,13.11,oce,44.22,299,0.0040999999999999995,0.1444,0.5284,0.0126,B,2.0
Seraphine,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Seraphine.png,SUPPORT,-11.75,iron,13.11,oce,36.42,1239,0.0508,0.8146,0.4681,0.0181,C,2.21
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Chogath.png,TOP,+8.73,iron,13.11,oce,62.25,782,0.0383,0.6644,0.509,0.0245,A,1.91
Zilean,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zilean.png,,0.00,challenger,13.11,oce,0.0,1,0.0007000000000000001,0.25,1.0,0.011899999999999999,Off Meta,28.0
Akshan,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Akshan.png,,0.00,grandmaster,13.11,oce,0.0,8,0.0417,0.8889,0.5,0.09380000000000001,Off Meta,2.15
Zyra,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zyra.png,,0.00,master,13.11,oce,0.0,18,0.0149,1.0,0.6667000000000001,0.0060999999999999995,Off Meta,2.59
Maokai,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Maokai.png,TOP,+7.41,master,13.11,vn,47.92,184,0.0043,0.1298,0.5652,0.005600000000000001,A,2.44
Elise,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Elise.png,JUNGLE,-2.46,master,13.11,vn,44.14,820,0.014499999999999999,0.9501999999999999,0.4976,0.0176,B,2.9
Zilean,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zilean.png,MID,+8.73,platinum,13.11,vn,60.04,173,0.0017000000000000001,0.1108,0.5607,0.0053,S,3.77
Zyra,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zyra.png,SUPPORT,+5.58,platinum,13.11,vn,47.0,1636,0.0163,0.9401999999999999,0.5226,0.0098,B,2.0
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Ziggs.png,SUPPORT,+0.02,platinum,13.11,vn,39.22,647,0.0054,0.21969999999999998,0.493,0.0034000000000000002,C,1.88
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Ziggs.png,ADC,,platinum,13.11,vn,29.65,311,0.0029,0.1056,0.4984,0.0034000000000000002,D,2.48
Zilean,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zilean.png,SUPPORT,+1.17,platinum,13.11,vn,45.78,1345,0.0109,0.8615999999999999,0.5056,0.0053,B,2.82
Zoe,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zoe.png,MID,-1.34,platinum,13.11,vn,50.62,2676,0.0256,0.8493,0.5085999999999999,0.0315,A,2.68
Zoe,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zoe.png,SUPPORT,-10.47,platinum,13.11,vn,36.49,436,0.0042,0.1384,0.4725,0.0315,D,2.18
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Ziggs.png,MID,+4.31,platinum,13.11,vn,48.66,1929,0.0166,0.655,0.5163,0.0034000000000000002,A,2.32
Zed,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zed.png,JUNGLE,-4.06,platinum,13.11,vn,39.6,1736,0.015700000000000002,0.138,0.47409999999999997,0.2837,C,2.4
Zeri,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zeri.png,ADC,+18.75,platinum,13.11,vn,65.39,14017,0.1277,0.9808,0.5122,0.1155,S,2.53
Zed,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zed.png,MID,+1.15,platinum,13.11,vn,66.11,10313,0.0971,0.8201,0.49670000000000003,0.2837,S+,2.15
Zac,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zac.png,TOP,,platinum,13.11,vn,52.34,307,0.0027,0.11230000000000001,0.5472,0.0169,A,2.97
Zac,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zac.png,JUNGLE,+1.96,platinum,13.11,vn,50.66,2014,0.0192,0.7365999999999999,0.5055,0.0169,A,3.66
Yorick,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yorick.png,TOP,-3.16,platinum,13.11,vn,39.37,1674,0.0165,0.9039,0.503,0.015600000000000001,C,1.48
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yuumi.png,SUPPORT,+10.85,platinum,13.11,vn,90.03,13730,0.1306,0.9973000000000001,0.5205,0.28859999999999997,S+,4.6
Zac,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Zac.png,SUPPORT,-4.91,platinum,13.11,vn,46.66,321,0.0038,0.1174,0.5234000000000001,0.0169,B,2.61
Yone,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yone.png,MID,+1.81,platinum,13.11,vn,50.94,6100,0.058600000000000006,0.5155,0.4938,0.06280000000000001,A,1.84
Yone,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yone.png,TOP,+8.20,platinum,13.11,vn,54.22,5243,0.0499,0.44299999999999995,0.4997,0.06280000000000001,S,1.66
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yasuo.png,TOP,+3.17,platinum,13.11,vn,50.95,4223,0.0401,0.1802,0.4807,0.2993,A,1.51
Xerath,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Xerath.png,MID,+0.87,platinum,13.11,vn,52.76,2090,0.0177,0.1977,0.5158,0.1789,A,3.08
Xerath,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Xerath.png,SUPPORT,+2.20,platinum,13.11,vn,65.69,8384,0.0731,0.7931999999999999,0.5344,0.1789,S+,2.5
Xayah,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Xayah.png,ADC,-2.53,platinum,13.11,vn,49.52,8628,0.0775,0.9925,0.5109,0.0321,A,2.4
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Yasuo.png,MID,+3.67,platinum,13.11,vn,86.01,17617,0.18969999999999998,0.7519,0.4817,0.2993,S+,1.68
Wukong,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/MonkeyKing.png,TOP,-7.13,platinum,13.11,vn,30.63,870,0.0079,0.1188,0.4632,0.06,D,1.92
Wukong,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/MonkeyKing.png,JUNGLE,-4.54,platinum,13.11,vn,51.89,6189,0.055099999999999996,0.8451000000000001,0.503,0.06,A,2.69
Warwick,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Warwick.png,TOP,+9.51,platinum,13.11,vn,39.35,799,0.0069,0.3075,0.5094,0.0053,C,1.88
Xin Zhao,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/XinZhao.png,JUNGLE,+0.62,platinum,13.11,vn,41.22,2691,0.025699999999999997,0.8595,0.4849,0.0024,C,2.18
Warwick,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Warwick.png,JUNGLE,+5.44,platinum,13.11,vn,46.14,1700,0.0169,0.6543000000000001,0.5135000000000001,0.0053,B,2.41
Volibear,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Volibear.png,JUNGLE,-1.63,platinum,13.11,vn,39.53,521,0.0052,0.2285,0.4818,0.0031,C,2.64
Volibear,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Volibear.png,TOP,-6.25,platinum,13.11,vn,36.23,1629,0.0147,0.7145,0.48369999999999996,0.0031,D,1.74
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vladimir.png,TOP,-6.39,platinum,13.11,vn,40.02,408,0.0039000000000000003,0.1363,0.5146999999999999,0.0174,C,2.0
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vladimir.png,MID,-4.15,platinum,13.11,vn,48.23,2538,0.0223,0.8477,0.5083,0.0174,A,2.3
Viktor,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Viktor.png,MID,+0.65,platinum,13.11,vn,58.89,8080,0.0672,0.9492,0.5158,0.1107,S,2.23
Vex,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vex.png,MID,+2.45,platinum,13.11,vn,52.64,2165,0.0208,0.9074,0.5307,0.0235,A,2.46
Vi,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vi.png,JUNGLE,-2.68,platinum,13.11,vn,56.23,7612,0.0663,0.9487000000000001,0.5236,0.060899999999999996,S,2.4
Viego,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Viego.png,JUNGLE,+1.50,platinum,13.11,vn,49.89,6054,0.0555,0.97,0.499,0.0137,A,2.49
Vel'Koz,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Velkoz.png,MID,+5.18,platinum,13.11,vn,43.75,561,0.0058,0.2051,0.4938,0.004699999999999999,B,2.56
Vayne,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vayne.png,ADC,-2.28,platinum,13.11,vn,35.03,5049,0.047400000000000005,0.6756,0.49,0.0271,D,2.03
Veigar,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Veigar.png,MID,+3.98,platinum,13.11,vn,56.96,6663,0.061,0.7609999999999999,0.5166,0.0496,S,2.23
Vel'Koz,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Velkoz.png,SUPPORT,-2.13,platinum,13.11,vn,46.15,2109,0.0172,0.7711,0.5149,0.004699999999999999,B,2.08
Veigar,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Veigar.png,SUPPORT,-6.13,platinum,13.11,vn,34.39,1201,0.0118,0.13720000000000002,0.4571,0.0496,D,1.86
Vayne,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Vayne.png,TOP,-5.20,platinum,13.11,vn,35.89,1898,0.016399999999999998,0.254,0.4858,0.0271,D,1.48
Varus,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Varus.png,MID,,platinum,13.11,vn,39.76,1114,0.0096,0.1245,0.48200000000000004,0.009300000000000001,C,1.95
Urgot,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Urgot.png,TOP,+1.33,platinum,13.11,vn,45.46,1682,0.016,0.9298000000000001,0.5196000000000001,0.0033,B,1.95
Udyr,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Udyr.png,TOP,-12.78,platinum,13.11,vn,26.4,284,0.0023,0.1595,0.46130000000000004,0.0052,D,1.69
Twitch,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/champion/Twitch.png,ADC,-8.82,platinum,13.11,vn,38.16,2655,0.0256,0.5581,0.5115,0.0277,C,2.51
