name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Zyra,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zyra.png,SUPPORT,+7.27,diamond,13.8,oce,50.63,204,0.031400000000000004,0.8831,0.5489999999999999,0.0195,A,2.25
Janna,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Janna.png,SUPPORT,+14.59,diamond,13.8,oce,60.0,418,0.057300000000000004,0.9976,0.5455,0.0087,S,3.45
Yone,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yone.png,TOP,+2.51,diamond,13.8,oce,48.19,245,0.0297,0.3329,0.5224,0.0548,A,1.72
Corki,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Corki.png,MID,+2.73,silver,13.8,oce,41.23,919,0.0087,0.8711,0.5103,0.0027,B,2.24
Orianna,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Orianna.png,MID,-3.03,silver,13.8,oce,42.22,1727,0.0179,0.8852,0.48119999999999996,0.003,B,2.67
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Chogath.png,MID,,iron,13.8,oce,46.45,169,0.01,0.1112,0.49700000000000005,0.0325,B,2.03
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Ziggs.png,SUPPORT,-27.61,iron,13.8,oce,5.78,106,0.005,0.1493,0.434,0.0044,D,1.48
Zyra,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zyra.png,,0.00,grandmaster,13.8,oce,0.0,4,0.0208,0.8,0.5,0.0096,Off Meta,1.43
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Aatrox.png,TOP,-1.84,gold,13.8,oce,46.61,1924,0.0401,0.9024,0.4621,0.056900000000000006,B,1.88
Swain,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Swain.png,SUPPORT,+0.06,master,13.8,vn,45.27,779,0.0219,0.6798000000000001,0.5045000000000001,0.0063,B,2.5
Lulu,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Lulu.png,SUPPORT,+6.48,gold,13.8,oce,60.73,4045,0.0669,0.982,0.5004,0.050300000000000004,S,2.97
Zilean,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zilean.png,MID,+12.63,platinum,13.8,vn,48.32,200,0.0018,0.10619999999999999,0.51,0.0058,B,3.7
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Ziggs.png,SUPPORT,+4.36,platinum,13.8,vn,42.08,797,0.005699999999999999,0.2208,0.49810000000000004,0.0036,C,1.96
Zoe,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zoe.png,MID,-3.88,platinum,13.8,vn,47.85,3150,0.025,0.8298000000000001,0.5025,0.027200000000000002,B,2.67
Zilean,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zilean.png,SUPPORT,+0.66,platinum,13.8,vn,43.74,1626,0.0115,0.8634999999999999,0.48460000000000003,0.0058,B,2.81
Zoe,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zoe.png,SUPPORT,+2.26,platinum,13.8,vn,45.51,583,0.0044,0.1536,0.5163,0.027200000000000002,B,2.19
Zyra,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zyra.png,SUPPORT,-3.14,platinum,13.8,vn,41.7,2255,0.0177,0.9434999999999999,0.4829,0.0111,C,1.95
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Ziggs.png,ADC,+17.91,platinum,13.8,vn,42.34,490,0.0038,0.1358,0.5306000000000001,0.0036,C,2.71
Zeri,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zeri.png,ADC,-1.62,platinum,13.8,vn,53.88,12445,0.09960000000000001,0.9802,0.5059,0.0984,A,2.56
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Ziggs.png,MID,-4.11,platinum,13.8,vn,46.53,2278,0.0181,0.6312,0.5114,0.0036,B,2.42
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yuumi.png,SUPPORT,+2.22,platinum,13.8,vn,77.07,12289,0.10060000000000001,0.9964,0.5262,0.2588,S+,4.53
Zed,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zed.png,MID,-4.72,platinum,13.8,vn,71.5,11133,0.0934,0.6912,0.504,0.33340000000000003,S+,2.19
Yorick,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yorick.png,TOP,-2.54,platinum,13.8,vn,43.49,2530,0.018799999999999997,0.9057999999999999,0.5138,0.0168,C,1.51
Zac,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zac.png,JUNGLE,-3.09,platinum,13.8,vn,51.39,3288,0.0254,0.7429000000000001,0.503,0.0269,A,3.64
Zed,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Zed.png,JUNGLE,-0.29,platinum,13.8,vn,43.03,4387,0.034,0.2724,0.4703,0.33340000000000003,C,2.35
Yone,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yone.png,TOP,-1.97,platinum,13.8,vn,45.63,5376,0.0431,0.4107,0.4814,0.0675,B,1.59
Yone,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yone.png,MID,-0.15,platinum,13.8,vn,51.25,7095,0.057999999999999996,0.542,0.49670000000000003,0.0675,A,1.82
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yasuo.png,TOP,+0.96,platinum,13.8,vn,42.15,4148,0.0351,0.1782,0.465,0.26780000000000004,C,1.43
Xerath,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Xerath.png,MID,+2.91,platinum,13.8,vn,50.36,2463,0.0187,0.19949999999999998,0.5075,0.1815,A,3.19
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Yasuo.png,MID,-4.46,platinum,13.8,vn,84.03,17303,0.1612,0.7432,0.4857,0.26780000000000004,S+,1.66
Xin Zhao,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/XinZhao.png,JUNGLE,+3.60,platinum,13.8,vn,46.48,1897,0.0159,0.8499,0.5166,0.0021,B,2.31
Xerath,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Xerath.png,SUPPORT,+2.42,platinum,13.8,vn,61.22,9741,0.0713,0.789,0.5202,0.1815,S,2.52
Xayah,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Xayah.png,ADC,-17.76,platinum,13.8,vn,56.08,15973,0.12300000000000001,0.9947,0.5017,0.0767,S,2.45
Wukong,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/MonkeyKing.png,TOP,,platinum,13.8,vn,46.18,1378,0.0105,0.1015,0.5254,0.12119999999999999,B,1.97
Warwick,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Warwick.png,TOP,+0.70,platinum,13.8,vn,40.52,874,0.006999999999999999,0.33299999999999996,0.508,0.0086,C,1.79
Wukong,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/MonkeyKing.png,JUNGLE,-2.02,platinum,13.8,vn,60.15,11870,0.0901,0.8742,0.5169,0.12119999999999999,S,2.79
Warwick,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Warwick.png,JUNGLE,-1.44,platinum,13.8,vn,41.38,1667,0.0154,0.635,0.4877,0.0086,C,2.33
Volibear,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Volibear.png,JUNGLE,-1.62,platinum,13.8,vn,42.73,1075,0.0098,0.42469999999999997,0.494,0.0032,C,2.55
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vladimir.png,MID,+1.49,platinum,13.8,vn,52.09,3154,0.023,0.8488,0.5355,0.0174,A,2.5
Vex,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vex.png,MID,-2.38,platinum,13.8,vn,47.5,2867,0.0223,0.9118999999999999,0.5082,0.026000000000000002,B,2.52
Vel'Koz,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Velkoz.png,MID,+3.33,platinum,13.8,vn,43.84,815,0.0058,0.2237,0.508,0.0060999999999999995,B,2.56
Vi,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vi.png,JUNGLE,+4.39,platinum,13.8,vn,59.1,11613,0.0842,0.9305,0.5295000000000001,0.0721,S,2.41
Viktor,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Viktor.png,MID,-4.02,platinum,13.8,vn,63.93,10421,0.07780000000000001,0.9679000000000001,0.5236999999999999,0.1295,S+,2.29
Viego,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Viego.png,JUNGLE,+2.10,platinum,13.8,vn,50.81,9184,0.0701,0.9727,0.4955,0.0149,A,2.49
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vladimir.png,TOP,-1.82,platinum,13.8,vn,47.77,504,0.0036,0.1356,0.5377000000000001,0.0174,B,2.26
Volibear,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Volibear.png,TOP,-2.17,platinum,13.8,vn,38.64,1322,0.0111,0.5223,0.4924,0.0032,D,1.76
Vel'Koz,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Velkoz.png,SUPPORT,+0.63,platinum,13.8,vn,47.25,2705,0.018500000000000003,0.7425,0.5139,0.0060999999999999995,B,2.11
Veigar,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Veigar.png,SUPPORT,+0.15,platinum,13.8,vn,34.12,1264,0.0106,0.1114,0.44380000000000003,0.0745,D,1.87
Vayne,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vayne.png,ADC,+2.69,platinum,13.8,vn,41.25,6325,0.0487,0.6997,0.5053,0.028300000000000002,C,2.18
Vayne,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Vayne.png,TOP,-1.00,platinum,13.8,vn,46.22,2077,0.015600000000000001,0.2298,0.5296,0.028300000000000002,B,1.63
Veigar,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Veigar.png,MID,-3.31,platinum,13.8,vn,61.4,9122,0.07139999999999999,0.804,0.5219,0.0745,S,2.4
Varus,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Varus.png,MID,,platinum,13.8,vn,43.06,1532,0.0106,0.1148,0.5091,0.015700000000000002,C,2.09
Varus,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Varus.png,ADC,+0.16,platinum,13.8,vn,49.29,11082,0.08710000000000001,0.8301999999999999,0.5069,0.015700000000000002,A,2.38
Udyr,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Udyr.png,TOP,-12.20,platinum,13.8,vn,29.71,397,0.003,0.1452,0.461,0.0123,D,1.64
Urgot,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Urgot.png,TOP,+2.51,platinum,13.8,vn,45.87,1723,0.013500000000000002,0.9462,0.5223,0.0042,B,1.93
Udyr,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Udyr.png,JUNGLE,-3.59,platinum,13.8,vn,44.14,2267,0.016,0.8292,0.502,0.0123,B,2.36
Twitch,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Twitch.png,ADC,+4.47,platinum,13.8,vn,45.01,2709,0.022799999999999997,0.4193,0.5307999999999999,0.0623,B,2.59
Tryndamere,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Tryndamere.png,TOP,+0.03,platinum,13.8,vn,39.67,2809,0.019799999999999998,0.8479000000000001,0.48840000000000006,0.0118,D,1.63
Twitch,https://ddragon.leagueoflegends.com/cdn/13.8.1/img/champion/Twitch.png,SUPPORT,+2.60,platinum,13.8,vn,45.45,3363,0.0263,0.5205,0.4936,0.0623,B,2.05
