name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Zeri,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Zeri.png,ADC,-4.30,master,13.10,oce,57.35,72,0.1048,0.973,0.5556,0.0771,A,2.66
Singed,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Singed.png,TOP,-11.76,grandmaster,13.10,vn,36.85,31,0.0116,0.3407,0.4839,0.0077,C,1.85
Orianna,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Orianna.png,MID,+7.92,grandmaster,13.10,vn,50.53,37,0.0132,0.925,0.5676,0.0019,A,3.14
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Aatrox.png,TOP,-2.28,platinum,13.10,oce,54.75,725,0.0526,0.9051,0.47859999999999997,0.056100000000000004,A,1.9
Heimerdinger,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Heimerdinger.png,TOP,+4.65,silver,13.10,oce,35.2,282,0.005699999999999999,0.21489999999999998,0.5035000000000001,0.0174,C,1.62
Corki,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Corki.png,MID,-1.16,silver,13.10,oce,39.5,561,0.011200000000000002,0.8848999999999999,0.4866,0.0033,C,2.13
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Ziggs.png,,0.00,master,13.10,oce,0.0,3,0.0072,0.5,0.3333,0.001,Off Meta,1.75
Zyra,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Zyra.png,,0.00,master,13.10,oce,0.0,8,0.0167,1.0,0.75,0.009300000000000001,Off Meta,2.73
Zilean,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Zilean.png,,0.00,master,13.10,oce,0.0,13,0.0278,1.0,0.6154,0.0206,Off Meta,2.82
Zoe,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Zoe.png,,0.00,master,13.10,oce,0.0,4,0.0216,1.0,0.75,0.014499999999999999,Off Meta,2.65
Karthus,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Karthus.png,ADC,-10.13,diamond,13.10,oce,25.76,54,0.0125,0.29510000000000003,0.5,0.0248,D,2.35
Lulu,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Lulu.png,SUPPORT,-2.40,iron,13.10,oce,46.27,606,0.057300000000000004,0.9469,0.4752,0.0379,B,2.64
Lux,https://ddragon.leagueoflegends.com/cdn/13.10.1/img/champion/Lux.png,MID,+3.02,iron,13.10,oce,55.94,597,0.046,0.2075,0.4941,0.19899999999999998,A,2.32
