name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Lissandra,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Lissandra.png,MID,,challenger,13.9,oce,0.0,22,0.0588,1.0,0.5455,0.050499999999999996,D,3.19
Yorick,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yorick.png,TOP,,master,13.9,oce,48.05,24,0.0171,0.7742,0.625,0.0183,B,1.36
Jarvan IV,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/JarvanIV.png,JUNGLE,-16.17,diamond,13.9,oce,62.99,554,0.0788,0.9081999999999999,0.5162,0.0947,S,3.37
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Chogath.png,MID,+9.79,platinum,13.9,oce,48.14,240,0.010700000000000001,0.2147,0.5417000000000001,0.0184,A,2.57
Lulu,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Lulu.png,SUPPORT,+2.62,diamond,13.9,oce,65.98,674,0.1014,0.9754,0.4792,0.0768,S,2.95
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Chogath.png,TOP,-0.30,platinum,13.9,oce,55.99,683,0.0348,0.6109,0.5271,0.0184,A,2.17
Nidalee,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Nidalee.png,JUNGLE,-1.42,platinum,13.9,oce,46.25,1108,0.040999999999999995,0.9445999999999999,0.4792,0.0212,B,2.9
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vladimir.png,MID,-2.84,silver,13.9,oce,52.78,3818,0.0415,0.8125,0.4927,0.0557,A,2.27
Taliyah,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Taliyah.png,MID,+4.02,silver,13.9,oce,41.22,800,0.0098,0.6029,0.505,0.0024,B,2.16
Zyra,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zyra.png,SUPPORT,+6.53,grandmaster,13.9,vn,49.64,26,0.0096,0.9286,0.5769,0.0060999999999999995,A,2.24
Zyra,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zyra.png,SUPPORT,-1.28,master,13.9,vn,42.33,568,0.013999999999999999,0.9578,0.5018,0.0084,C,2.07
Maokai,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Maokai.png,JUNGLE,+4.26,master,13.9,vn,49.25,600,0.0144,0.46950000000000003,0.5467,0.009399999999999999,A,3.24
Zilean,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zilean.png,SUPPORT,+13.02,grandmaster,13.9,vn,53.07,42,0.012199999999999999,0.8571,0.5952000000000001,0.0049,A,2.9
Zoe,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zoe.png,MID,-1.11,grandmaster,13.9,vn,58.12,259,0.0482,0.935,0.5212,0.0968,S,2.76
Zeri,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zeri.png,ADC,-9.29,grandmaster,13.9,vn,65.1,707,0.1555,0.9861,0.5219,0.1989,S+,2.67
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Ziggs.png,MID,+5.42,grandmaster,13.9,vn,48.29,45,0.0111,0.6618,0.5556,0.0017000000000000001,B,2.58
Zed,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zed.png,JUNGLE,-0.55,grandmaster,13.9,vn,43.54,104,0.023399999999999997,0.1691,0.47119999999999995,0.17809999999999998,B,2.7
Zac,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zac.png,TOP,,grandmaster,13.9,vn,43.42,26,0.0073,0.13269999999999998,0.5,0.059000000000000004,B,2.72
Zac,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zac.png,SUPPORT,+10.55,grandmaster,13.9,vn,51.92,28,0.0038,0.1429,0.6071,0.059000000000000004,A,2.5
Zed,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zed.png,MID,-0.28,grandmaster,13.9,vn,71.51,484,0.079,0.787,0.5434,0.17809999999999998,S+,2.39
Zac,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Zac.png,JUNGLE,+9.43,grandmaster,13.9,vn,60.25,127,0.0278,0.648,0.5984,0.059000000000000004,S,4.26
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yuumi.png,SUPPORT,+2.91,grandmaster,13.9,vn,92.32,638,0.16190000000000002,0.9937999999999999,0.5329,0.4155,S+,4.7
Yorick,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yorick.png,TOP,-2.48,grandmaster,13.9,vn,27.2,21,0.0106,1.0,0.381,0.0102,D,1.21
Yone,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yone.png,TOP,-5.60,grandmaster,13.9,vn,43.68,182,0.0409,0.4252,0.456,0.029300000000000003,B,1.63
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yasuo.png,TOP,-4.05,grandmaster,13.9,vn,39.64,111,0.0282,0.11599999999999999,0.4414,0.1265,C,1.58
Xin Zhao,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/XinZhao.png,JUNGLE,+1.67,grandmaster,13.9,vn,45.62,49,0.0128,0.8167,0.5306000000000001,0.001,B,2.3
Xerath,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Xerath.png,MID,+4.90,grandmaster,13.9,vn,50.77,55,0.0163,0.2607,0.5273,0.0816,A,3.54
Xerath,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Xerath.png,SUPPORT,-1.41,grandmaster,13.9,vn,47.22,149,0.0433,0.7062,0.4765,0.0816,B,2.36
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yasuo.png,MID,-0.05,grandmaster,13.9,vn,81.9,763,0.13970000000000002,0.7973,0.4771,0.1265,S+,1.71
Warwick,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Warwick.png,TOP,,grandmaster,13.9,vn,40.9,31,0.006500000000000001,0.40259999999999996,0.5161,0.0062,C,1.82
Yone,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Yone.png,MID,+3.82,grandmaster,13.9,vn,53.0,233,0.047,0.5444,0.5107,0.029300000000000003,A,1.95
Volibear,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Volibear.png,TOP,+16.03,grandmaster,13.9,vn,37.76,45,0.016200000000000003,0.5357,0.4667,0.0031,C,1.55
Volibear,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Volibear.png,JUNGLE,-25.84,grandmaster,13.9,vn,35.66,36,0.0109,0.4286,0.4167,0.0031,D,2.8
Wukong,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/MonkeyKing.png,JUNGLE,-3.45,grandmaster,13.9,vn,53.22,344,0.0759,0.9477,0.4738,0.1026,A,2.74
Warwick,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Warwick.png,JUNGLE,+13.48,grandmaster,13.9,vn,51.28,43,0.0087,0.5584,0.5814,0.0062,A,2.84
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vladimir.png,MID,-12.16,grandmaster,13.9,vn,38.67,56,0.0232,0.8,0.4286,0.0353,C,2.09
Xayah,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Xayah.png,ADC,-11.92,grandmaster,13.9,vn,62.58,693,0.16570000000000001,0.9971,0.5136999999999999,0.1215,S,2.45
Viego,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Viego.png,JUNGLE,+7.88,grandmaster,13.9,vn,60.99,507,0.09939999999999999,0.953,0.5266,0.0166,S,2.72
Viktor,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Viktor.png,MID,-7.69,grandmaster,13.9,vn,51.72,228,0.0581,0.9913,0.44299999999999995,0.0935,A,2.07
Veigar,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Veigar.png,SUPPORT,+3.89,grandmaster,13.9,vn,43.82,28,0.0048,0.1795,0.5357,0.0382,B,1.5
Vi,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vi.png,JUNGLE,+2.36,grandmaster,13.9,vn,52.46,192,0.054000000000000006,0.9057,0.5156000000000001,0.0546,A,2.65
Vex,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vex.png,MID,-2.39,grandmaster,13.9,vn,44.79,75,0.0169,0.8242,0.5067,0.0218,B,2.35
Vel'Koz,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Velkoz.png,SUPPORT,-14.69,grandmaster,13.9,vn,38.59,82,0.015700000000000002,0.8454,0.439,0.0029,C,2.06
Veigar,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Veigar.png,MID,-2.90,grandmaster,13.9,vn,51.15,109,0.0395,0.6987000000000001,0.5046,0.0382,A,2.22
Vayne,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vayne.png,ADC,-7.80,grandmaster,13.9,vn,34.95,101,0.0276,0.5642,0.4752,0.0158,D,2.23
Vayne,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Vayne.png,TOP,+12.54,grandmaster,13.9,vn,52.68,60,0.0123,0.33520000000000005,0.6333,0.0158,A,1.75
Urgot,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Urgot.png,TOP,-8.03,grandmaster,13.9,vn,41.04,33,0.0144,0.8684000000000001,0.48479999999999995,0.0066,C,2.05
Varus,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Varus.png,ADC,-7.87,grandmaster,13.9,vn,46.14,360,0.0735,0.9326000000000001,0.5222,0.01,B,2.27
Udyr,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Udyr.png,TOP,+4.88,grandmaster,13.9,vn,45.59,39,0.005,0.25,0.5640999999999999,0.0088,B,2.0
Twitch,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Twitch.png,SUPPORT,-0.72,grandmaster,13.9,vn,39.88,116,0.0194,0.4793,0.4483,0.0344,C,1.98
Twitch,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Twitch.png,ADC,-1.03,grandmaster,13.9,vn,44.84,116,0.0264,0.4793,0.5603,0.0344,B,2.69
Udyr,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Udyr.png,JUNGLE,-5.66,grandmaster,13.9,vn,41.89,117,0.0187,0.75,0.47009999999999996,0.0088,C,2.72
Twisted Fate,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/TwistedFate.png,MID,-6.45,grandmaster,13.9,vn,47.42,155,0.0392,0.9748,0.4645,0.0075,B,2.35
Trundle,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Trundle.png,JUNGLE,,grandmaster,13.9,vn,53.05,25,0.006500000000000001,0.6409999999999999,0.6,0.0013,A,2.96
Tristana,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Tristana.png,MID,-2.73,grandmaster,13.9,vn,44.05,129,0.0264,0.38280000000000003,0.4806,0.0231,B,2.0
Tryndamere,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Tryndamere.png,TOP,+3.50,grandmaster,13.9,vn,47.36,84,0.0161,0.7568,0.5714,0.013600000000000001,B,1.58
Tryndamere,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Tryndamere.png,MID,,grandmaster,13.9,vn,18.9,20,0.0021,0.1802,0.3,0.013600000000000001,D,1.67
Teemo,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Teemo.png,MID,,grandmaster,13.9,vn,42.83,20,0.0025,0.1515,0.55,0.0108,B,1.86
Teemo,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Teemo.png,TOP,+1.39,grandmaster,13.9,vn,37.83,73,0.0138,0.5529999999999999,0.4658,0.0108,C,1.73
Talon,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Talon.png,MID,-8.05,grandmaster,13.9,vn,38.29,52,0.015,0.6842,0.44229999999999997,0.0026,C,2.39
Tristana,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Tristana.png,ADC,-4.33,grandmaster,13.9,vn,46.12,188,0.0487,0.5579,0.5532,0.0231,B,2.4
Taric,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Taric.png,SUPPORT,+0.14,grandmaster,13.9,vn,51.26,24,0.0087,0.96,0.5832999999999999,0.0027,A,2.78
Talon,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Talon.png,JUNGLE,+10.50,grandmaster,13.9,vn,51.88,23,0.0068000000000000005,0.30260000000000004,0.5652,0.0026,A,3.75
Tahm Kench,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/TahmKench.png,TOP,,grandmaster,13.9,vn,31.97,24,0.009399999999999999,0.44439999999999996,0.4167,0.0098,D,1.65
Tahm Kench,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/TahmKench.png,SUPPORT,+28.96,grandmaster,13.9,vn,46.97,28,0.0052,0.5185,0.5357,0.0098,B,2.88
Taliyah,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Taliyah.png,MID,-0.03,grandmaster,13.9,vn,57.82,261,0.039,0.7885,0.5594,0.0567,S,2.67
Syndra,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Syndra.png,MID,-8.76,grandmaster,13.9,vn,58.1,296,0.0638,0.9279000000000001,0.4932,0.0379,S,2.39
Swain,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Swain.png,SUPPORT,+6.65,grandmaster,13.9,vn,42.49,73,0.0175,0.5252,0.4658,0.0068000000000000005,C,2.66
Sylas,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Sylas.png,MID,+3.12,grandmaster,13.9,vn,67.67,373,0.0817,0.456,0.496,0.1883,S+,2.15
Sylas,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Sylas.png,JUNGLE,+4.60,grandmaster,13.9,vn,58.95,334,0.0702,0.4083,0.5329,0.1883,S,2.64
Soraka,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Soraka.png,SUPPORT,-1.47,grandmaster,13.9,vn,53.17,242,0.053099999999999994,0.9528,0.5247999999999999,0.022400000000000003,A,2.72
Swain,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Swain.png,MID,,grandmaster,13.9,vn,50.94,56,0.0101,0.4029,0.5536,0.0068000000000000005,A,3.52
Sion,https://ddragon.leagueoflegends.com/cdn/13.9.1/img/champion/Sion.png,MID,-2.60,grandmaster,13.9,vn,39.48,33,0.0089,0.11109999999999999,0.48479999999999995,0.030299999999999997,C,2.08
