name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Zoe,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Zoe.png,MID,-8.23,master,13.4,oce,46.55,34,0.031200000000000002,0.85,0.4706,0.0216,B,2.66
Zilean,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Zilean.png,,0.00,challenger,13.4,oce,0.0,4,0.0165,0.8,0.5,0.0148,Off Meta,2.91
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Aatrox.png,TOP,-4.78,iron,13.4,oce,40.39,831,0.039,0.8887999999999999,0.4573,0.0724,B,1.78
Zyra,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Zyra.png,,0.00,challenger,13.4,oce,0.0,2,0.0229,1.0,0.5,0.0103,Off Meta,1.07
Nunu,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Nunu.png,JUNGLE,-12.38,iron,13.4,oce,57.69,1948,0.07690000000000001,0.9312,0.48100000000000004,0.0373,A,2.24
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Aatrox.png,TOP,-7.41,platinum,13.4,oce,49.14,970,0.042800000000000005,0.9318000000000001,0.4753,0.0768,B,1.94
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Chogath.png,TOP,-3.02,iron,13.4,oce,50.58,983,0.0449,0.6990999999999999,0.4802,0.015700000000000002,B,1.92
Zoe,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Zoe.png,,0.00,challenger,13.4,oce,0.0,11,0.032400000000000005,0.6875,0.4545,0.02,Off Meta,3.19
Tristana,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Tristana.png,ADC,-9.54,iron,13.4,oce,52.16,2156,0.1,0.8376,0.4949,0.0886,B,2.0
Tristana,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Tristana.png,MID,+5.01,iron,13.4,oce,60.88,350,0.0199,0.136,0.5257000000000001,0.0886,A,2.12
Zyra,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Zyra.png,,0.00,master,13.4,oce,0.0,12,0.020499999999999997,0.8571,0.25,0.0092,Off Meta,1.6
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.4.1/img/champion/Ziggs.png,MID,-1.00,platinum,13.4,vn,45.91,2540,0.020499999999999997,0.6269,0.5024000000000001,0.0037,B,2.43
