name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Kog'Maw,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/KogMaw.png,ADC,,diamond,13.3,eune,34.6,653,0.0222,0.8062,0.4916,0.0045000000000000005,D,2.2
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Chogath.png,TOP,,diamond,13.3,eune,51.94,717,0.0217,0.7636,0.5411,0.0042,A,2.25
Brand,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Brand.png,MID,,diamond,13.3,oce,45.82,37,0.0051,0.1659,0.5135000000000001,0.0172,B,2.02
Illaoi,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Illaoi.png,TOP,,diamond,13.3,eune,61.69,2199,0.0706,0.9691,0.5015999999999999,0.0721,S,1.35
Lulu,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Lulu.png,SUPPORT,,diamond,13.3,oce,72.14,504,0.08410000000000001,0.9711,0.5119,0.059800000000000006,S+,3.02
Blitzcrank,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Blitzcrank.png,SUPPORT,,diamond,13.3,oce,68.62,424,0.0665,0.9636,0.5212,0.2133,S,2.45
Gangplank,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Gangplank.png,MID,,diamond,13.3,oce,48.75,258,0.0291,0.24109999999999998,0.5115999999999999,0.1862,B,2.33
Poppy,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Poppy.png,JUNGLE,,diamond,13.3,oce,37.44,53,0.0102,0.3926,0.5283,0.0053,C,2.9
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Aatrox.png,TOP,,iron,13.3,oce,45.17,777,0.0438,0.8972,0.4698,0.0837,B,1.67
Evelynn,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Evelynn.png,,0.00,grandmaster,13.3,oce,0.0,9,0.049100000000000005,1.0,0.6667000000000001,0.2148,Off Meta,3.95
Zyra,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Zyra.png,SUPPORT,,iron,13.3,oce,70.09,881,0.0454,0.912,0.5278,0.0338,S,1.95
Zoe,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Zoe.png,SUPPORT,,iron,13.3,oce,27.34,71,0.0040999999999999995,0.14550000000000002,0.4507,0.0124,D,1.95
Zoe,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Zoe.png,MID,,master,13.3,vn,54.67,501,0.042800000000000005,0.893,0.5329,0.0504,S,2.87
Warwick,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Warwick.png,TOP,,master,13.3,vn,45.92,92,0.006999999999999999,0.3594,0.5652,0.01,B,1.95
Zyra,https://ddragon.leagueoflegends.com/cdn/13.3.1/img/champion/Zyra.png,SUPPORT,,master,13.3,vn,46.76,111,0.0125,0.925,0.5946,0.0048,B,2.06
