name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Corki,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Corki.png,ADC,,silver,13.6,oce,7.71,120,0.0011,0.1117,0.4167,0.0033,D,2.15
Qiyana,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Qiyana.png,JUNGLE,+4.44,platinum,13.6,oce,14.25,95,0.004,0.1092,0.4,0.0102,D,2.21
Zyra,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Zyra.png,SUPPORT,+3.47,diamond,13.6,oce,50.36,244,0.031400000000000004,0.9384999999999999,0.5492,0.017,A,2.39
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Aatrox.png,TOP,-7.49,bronze,13.6,oce,42.57,3052,0.0458,0.8908,0.4545,0.06570000000000001,B,1.66
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/DrMundo.png,TOP,-0.08,gold,13.6,oce,54.77,1507,0.0341,0.7234999999999999,0.5262,0.0302,A,1.96
Nocturne,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Nocturne.png,JUNGLE,+1.98,silver,13.6,oce,73.14,7016,0.06860000000000001,0.9493,0.5339,0.059699999999999996,S+,2.73
Jarvan IV,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/JarvanIV.png,JUNGLE,-3.71,bronze,13.6,oce,91.44,4453,0.08900000000000001,0.8913,0.5143,0.13949999999999999,S+,3.0
Seraphine,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Seraphine.png,,0.00,grandmaster,13.6,oce,0.0,5,0.0125,0.5,0.0,0.0033,Off Meta,1.83
Senna,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Senna.png,,0.00,grandmaster,13.6,oce,0.0,19,0.0862,1.0,0.5263,0.030299999999999997,Off Meta,2.64
Zyra,https://ddragon.leagueoflegends.com/cdn/13.6.1/img/champion/Zyra.png,SUPPORT,-1.12,gold,13.6,oce,53.46,2325,0.0395,0.9181999999999999,0.5316,0.0292,A,2.19
