name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,-5.44,bronze,13.5,oce,56.23,2632,0.0424,0.8862000000000001,0.5175,0.032400000000000005,A,2.06
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,+3.30,master,13.5,vn,45.27,433,0.0159,0.9231999999999999,0.5242,0.0074,B,2.23
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,,0.00,challenger,13.5,oce,0.0,3,0.021,1.0,1.0,0.0043,Off Meta,2.18
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,+3.56,diamond,13.5,oce,46.89,215,0.0317,0.9072,0.5023,0.014499999999999999,B,2.08
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,-3.51,iron,13.5,oce,63.59,754,0.0437,0.8902,0.5411,0.033,A,2.05
Zoe,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zoe.png,,0.00,challenger,13.5,oce,0.0,5,0.0294,0.625,0.6,0.0163,Off Meta,2.44
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,-0.38,gold,13.5,oce,54.58,2454,0.0417,0.9239,0.5302,0.028300000000000002,A,2.21
Zilean,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zilean.png,,0.00,challenger,13.5,oce,0.0,8,0.0252,1.0,0.625,0.0206,Off Meta,4.14
Zoe,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zoe.png,MID,-8.98,iron,13.5,oce,28.5,537,0.024300000000000002,0.7326,0.4302,0.016,C,1.89
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Aatrox.png,,0.00,challenger,13.5,oce,0.0,7,0.0521,1.0,0.2857,0.038599999999999995,Off Meta,1.08
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,+8.76,grandmaster,13.5,vn,42.53,50,0.0121,0.8772,0.48,0.0075,C,2.22
Zilean,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zilean.png,SUPPORT,-4.41,silver,13.5,oce,49.17,2118,0.022000000000000002,0.8515999999999999,0.5136999999999999,0.0109,A,3.0
Zoe,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zoe.png,MID,-1.50,silver,13.5,oce,44.51,2090,0.023,0.7515000000000001,0.4718,0.014499999999999999,B,2.3
Zilean,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zilean.png,MID,-0.92,silver,13.5,oce,56.27,301,0.0031,0.121,0.5515,0.0109,A,3.9
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,SUPPORT,-1.38,silver,13.5,oce,53.58,4256,0.042300000000000004,0.919,0.5273,0.030299999999999997,A,2.18
Zed,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zed.png,JUNGLE,+0.49,silver,13.5,oce,33.26,1654,0.016,0.15410000000000001,0.46009999999999995,0.2722,C,2.35
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Ziggs.png,MID,-0.51,silver,13.5,oce,48.51,1412,0.015,0.561,0.5156000000000001,0.003,B,2.29
Zeri,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zeri.png,ADC,+3.44,silver,13.5,oce,48.02,6570,0.06849999999999999,0.9526,0.49570000000000003,0.0285,B,2.54
Zed,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zed.png,MID,+2.84,silver,13.5,oce,58.99,8579,0.0858,0.7995,0.4807,0.2722,S,2.15
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Yuumi.png,SUPPORT,+62.38,silver,13.5,oce,96.95,13574,0.1417,0.9928,0.5175,0.3107,S+,4.58
Yorick,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Yorick.png,TOP,-4.00,silver,13.5,oce,71.5,6363,0.060700000000000004,0.9162,0.5205,0.086,S+,1.5
Zac,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zac.png,JUNGLE,-4.87,silver,13.5,oce,56.18,3504,0.0358,0.7641,0.5065999999999999,0.0605,A,3.43
Zac,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zac.png,TOP,-4.90,silver,13.5,oce,43.69,486,0.0044,0.106,0.5185,0.0605,B,2.79
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Ziggs.png,SUPPORT,+4.83,silver,13.5,oce,38.83,386,0.004,0.1534,0.4974,0.003,C,2.0
Zoe,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zoe.png,SUPPORT,+0.68,silver,13.5,oce,35.93,610,0.0064,0.2193,0.47869999999999996,0.014499999999999999,C,1.93
Zyra,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Zyra.png,,0.00,master,13.5,oce,0.0,11,0.023399999999999997,1.0,0.4545,0.009000000000000001,Off Meta,2.46
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Yasuo.png,TOP,+3.28,silver,13.5,oce,33.51,1640,0.0172,0.1328,0.4756,0.1448,C,1.45
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Yasuo.png,ADC,-11.20,silver,13.5,oce,17.01,1373,0.013999999999999999,0.1112,0.4647,0.1448,D,1.89
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Yasuo.png,MID,+1.30,silver,13.5,oce,56.93,9178,0.0929,0.7432,0.4875,0.1448,S,1.68
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.5.1/img/champion/Ziggs.png,ADC,-3.35,silver,13.5,oce,30.08,654,0.0073,0.25980000000000003,0.5107,0.003,D,2.49
