name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Sett,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Sett.png,TOP,+1.04,platinum,13.12,oce,55.12,807,0.0447,0.8284999999999999,0.5056,0.0143,A,1.7
Volibear,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Volibear.png,TOP,+1.45,platinum,13.12,oce,40.74,340,0.0216,0.7265,0.5,0.0051,C,1.63
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Aatrox.png,TOP,-12.66,silver,13.12,oce,74.03,5996,0.0712,0.9055,0.4813,0.0732,S,1.9
Zyra,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zyra.png,SUPPORT,-0.28,platinum,13.12,oce,50.11,682,0.0375,0.9292,0.5279,0.0192,A,2.07
Ivern,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Ivern.png,TOP,,diamond,13.12,oce,47.07,127,0.0169,0.264,0.5590999999999999,0.12359999999999999,B,2.12
Zyra,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zyra.png,SUPPORT,+33.96,iron,13.12,oce,76.52,632,0.038900000000000004,0.8914,0.5364,0.0316,S+,1.96
Corki,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Corki.png,MID,+4.06,gold,13.12,oce,40.89,523,0.011899999999999999,0.8687999999999999,0.499,0.0033,B,2.4
Zoe,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zoe.png,MID,+13.49,iron,13.12,oce,38.35,414,0.025,0.7473000000000001,0.46140000000000003,0.0173,B,2.12
Zoe,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zoe.png,SUPPORT,-16.16,iron,13.12,oce,48.31,120,0.005600000000000001,0.21660000000000001,0.5083,0.0173,B,1.97
Zilean,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zilean.png,SUPPORT,-43.55,iron,13.12,oce,34.33,277,0.0176,0.8822,0.4729,0.0068000000000000005,C,2.67
Darius,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Darius.png,TOP,+3.69,master,13.12,vn,76.41,3663,0.0959,0.9678,0.4971,0.1241,S+,1.83
Zyra,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zyra.png,SUPPORT,+0.58,platinum,13.12,vn,47.58,2201,0.0174,0.9109999999999999,0.5311,0.0086,B,2.02
Zoe,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zoe.png,SUPPORT,+3.00,platinum,13.12,vn,39.49,526,0.004699999999999999,0.1598,0.4924,0.031400000000000004,C,2.14
Zilean,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zilean.png,SUPPORT,+2.81,platinum,13.12,vn,48.59,1455,0.011000000000000001,0.8786,0.5244,0.0055000000000000005,A,2.94
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Ziggs.png,ADC,+7.79,platinum,13.12,vn,37.44,341,0.0032,0.10869999999999999,0.522,0.0033,D,2.51
Zoe,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zoe.png,MID,+1.57,platinum,13.12,vn,52.2,2722,0.024900000000000002,0.8269,0.5228,0.031400000000000004,A,2.72
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Ziggs.png,SUPPORT,+1.29,platinum,13.12,vn,40.5,701,0.0060999999999999995,0.2234,0.5007,0.0033,C,1.99
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Ziggs.png,MID,-2.98,platinum,13.12,vn,45.69,2052,0.0165,0.6539,0.5073,0.0033,B,2.36
Zeri,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zeri.png,ADC,-18.79,platinum,13.12,vn,46.6,11156,0.0986,0.9573999999999999,0.4714,0.1177,B,2.28
Zac,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zac.png,SUPPORT,+3.44,platinum,13.12,vn,50.1,389,0.0034000000000000002,0.12619999999999998,0.5476,0.0138,A,2.76
Zac,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zac.png,TOP,+7.70,platinum,13.12,vn,60.04,338,0.0026,0.1096,0.6006,0.0138,S,3.04
Zac,https://ddragon.leagueoflegends.com/cdn/13.12.1/img/champion/Zac.png,JUNGLE,+2.98,platinum,13.12,vn,53.64,2231,0.0189,0.7236,0.5271,0.0138,A,3.62
